OrganismID,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Genus,Species,TaxonName,TaxonRank,LifeStage,CommonName,Classification,Organism
11,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Oithonidae,Oithona,NA,Oithona sp.,Genus,adult,Oithona sp.,Cyclopoids,Oithona Spp.
12,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Oithonidae,Oithona,similis,Oithona similis,Species,adult,Oithona similis,Cyclopoids,Oithona similis
13,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Oithonidae,Oithona,davisae,Oithona davisae,Species,adult,Oithona davisae,Cyclopoids,Oithona davisae
14,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Oithonidae,Oithona,NA,Oithona sp.,Genus,copepodid,Oithona sp.,Cyclopoids,Oithona copepodid
15,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopettidae,Limnoithona,NA,Limnoithona sp.,Genus,adult,Limnoithona sp.,Cyclopoids,Limnoithona spp.
16,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopettidae,Limnoithona,tetraspina,Limnoithona tetraspina,Species,adult,Limnoithona tetraspina,Cyclopoids,Limnoithona tetraspina
17,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopettidae,Limnoithona,sinensis,Limnoithona sinensis,Species,adult,Limnoithona sinensis,Cyclopoids,Limnoithona sinensis
18,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopettidae,Limnoithona,NA,Limnoithona sp.,Genus,copepodid,Limnoithona sp.,Cyclopoids,Limnoithona copepodid
19,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Acartiidae,Acartia,NA,Acartia sp.,Genus,adult,Acartia sp.,Calanoids,Acartia spp.
20,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Acartiidae,Acartia,NA,Acartia sp.,Genus,copepodid,Acartia sp.,Calanoids,Acartia copepodid
21,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Diaptomus,NA,Diaptomus sp.,Genus,adult,Diaptomus sp.,Calanoids,Diaptomus spp.
22,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Diaptomus,NA,Diaptomus sp.,Genus,copepodid,Diaptomus sp.,Calanoids,Diaptomus copepodid
23,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Species,adult,Pseudodiaptomus forbesi,Calanoids,Pseudodiaptomus forbesi adult
24,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,forbesi,Pseudodiaptomus forbesi,Species,copepodid,Pseudodiaptomus forbesi,Calanoids,Pseudodiaptomus forbesi copepodid
25,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Temoridae,Eurytemora,affinis,Eurytemora affinis,Species,adult,Eurytemora affinis,Calanoids,Eurytemora affinis adult
26,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Temoridae,Eurytemora,affinis,Eurytemora affinis,Species,copepodid,Eurytemora affinis,Calanoids,Eurytemora affinis copepodid
27,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii,Species,adult,Sinocalanus doerrii,Calanoids,Sinocalanus doerrii adult
28,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii,Species,copepodid,Sinocalanus doerrii,Calanoids,Sinocalanus doerrii copepodid
29,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Acartiidae,Acartiella,sinensis,Acartiella sinensis,Species,adult,Acartiella sinensis,Calanoids,Acartiella sinensis
30,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Acartiidae,Acartiella,NA,Acartiella sp.,Species,copepodid,Acartiella sp.,Calanoids,Acartiella copepodid
31,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Tortanidae,Tortanus,NA,Tortanus sp.,Genus,adult,Tortanus sp.,Calanoids,Tortanus spp.
32,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Tortanidae,Tortanus,NA,Tortanus sp.,Genus,copepodid,Tortanus sp.,Calanoids,Tortanus copepodid
33,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Osphranticum,labronectum,Osphranticum labronectum,Species,adult,Osphranticum labronectum,Calanoids,Osphranticum labronectum
34,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Osphranticum,NA,Osphranticum sp.,Genus,copepodid,Osphranticum sp.,Calanoids,Osphranticum copepodid
35,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Bosminidae,Bosmina,longirostris,Bosmina longirostris,Species,undifferentiated,Bosmina longirostris,Cladocera,Bosmina
36,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Ceriodaphnia,NA,Ceriodaphnia sp.,Genus,undifferentiated,Ceriodaphnia sp.,Cladocera,Ceriodaphnia
37,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Daphnia,NA,Daphnia sp.,Genus,undifferentiated,Daphnia,Cladocera,Daphnia
38,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Chydorus,NA,Chydorus sp.,Genus,undifferentiated,Chydorus sp.,Cladocera,Chydorus
39,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Eurycercidae,Camptocercus,NA,Camptocercus sp.,Genus,undifferentiated,Camptocercus sp.,Cladocera,Camptocercus
40,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Scapholeberis,NA,Scapholeberis sp.,Genus,undifferentiated,Scapholeberis sp.,Cladocera,Scapholeberis
41,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Ctenopoda,NA,Sididae,Diaphanosoma,NA,Diaphanosoma sp.,Genus,undifferentiated,Diaphanosoma sp.,Cladocera,Diaphanosoma
42,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Daphnia,NA,Daphnia sp.,Genus,juvenile,Daphnia,Cladocera,Juvenile Daphnia
43,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Alona,NA,Alona sp.,Genus,undifferentiated,Alona sp.,Cladocera,Alona
44,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Ilyocryptidae,Ilyocryptus,NA,Ilyocryptus sp.,Genus,undifferentiated,Ilyocryptus sp.,Cladocera,Ilyocryptus
45,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Macrothricidae,Macrothrix,NA,Macrothrix sp.,Genus,undifferentiated,Macrothrix sp.,Cladocera,Macrothrix
46,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Harpacticoida,Order,undifferentiated,Harpacticoid,Harpacticoids,Harpacticoids
47,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Mysida,NA,NA,NA,Mysidae,NA,NA,Mysidae,Family,undifferentiated,Mysidae,Macrozooplankton,Mysids
48,Animalia,Chordata,Vertebrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinopterygii,Class,larva,Fish,Macrozooplankton,Larval Fish
49,Animalia,Chordata,Vertebrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinopterygii,Class,eggs,Fish,Macrozooplankton,Fish eggs
50,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Corophiidae,Corophium,NA,Corophium sp.,Genus,undifferentiated,Corophium sp.,Macrozooplankton,Corophium spp.
51,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Gammaridae,Gammarus,NA,Gammarus sp.,Genus,undifferentiated,Gammarus sp.,Macrozooplankton,Gammarus spp.
52,Animalia,Mollusca,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bivalvia,Class,undifferentiated,Clam,Macrozooplankton,Clam
53,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,NA,Cumacea,NA,NA,NA,NA,NA,NA,Cumacea,Order,undifferentiated,Cumacean,Macrozooplankton,Cumacean
54,Animalia,Mollusca,NA,Bivalvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bivalvia,Class,larva,Clam,Macrozooplankton,Baby clam
55,Animalia,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Phylum,undifferentiated,Snail,Macrozooplankton,Snail
56,Animalia,Mollusca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,Phylum,larva,Snail,Macrozooplankton,Baby snail
57,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Corophiidae,Americorophium,NA,Americorophium sp.,Genus,undifferentiated,Americorophium sp.,Macrozooplankton,Americorophium
58,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Insecta,Class,larva,Unidentified insect,Macrozooplankton,Insect larvae
59,Animalia,Arthropoda,Crustacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustacea,Subphylum,undifferentiated,Shrimp,Macrozooplankton,Shrimp
60,Animalia,Annelida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Annelida,Phylum,undifferentiated,Annelid,Macrozooplankton,Annelid
61,Animalia,Chordata,Vertebrata,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinopterygii,Class,undifferentiated,Fish,Macrozooplankton,Fish
62,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,NA,NA,NA,NA,NA,NA,Isopoda,Order,undifferentiated,Isopoda,Macrozooplankton,Isopod
63,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,adult,Acanthocyclops vernalis,Cyclopoids,Acanthocyclops Vernalis
64,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,copepodid,Calanoid,Calanoids,Calanoid copepodids
65,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,NA,NA,Chironomidae,Family,larva,Chironomidae,Diptera,Chironomidae Larvae
66,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,Copepoda,Subclass,nauplius,Copepod,Microzooplankton & Nauplii,Copepod nauplii
67,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Osphranticum,labronectum,Osphranticum labronectum,Species,adult,Osphranticum labronectum,Calanoids,Osphranticum labronectum
68,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,NA,NA,NA,Calanoida,Order,adult,Other Calanoid,Calanoids,Other Calanoids
69,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,NA,NA,NA,NA,NA,Cladocera,Suborder,undifferentiated,Cladoceran,Cladocera,Other Cladocera
70,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,NA,NA,NA,Cyclopoida,Order,adult,Cyclopoid,Cyclopoids,Other Cyclopoids
71,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Insecta,Class,larva,Unidentified insect,Macrozooplankton,Insect larvae
72,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Centropagidae,Sinocalanus,doerrii,Sinocalanus doerrii,Species,adult,Sinocalanus doerrii,Calanoids,Sinoclanus doerii
73,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Pseudodiaptomidae,Pseudodiaptomus,NA,Pseudodiaptomus sp.,Genus,adult,Pseudodiaptomus sp.,Calanoids,Pseudodiaptomus spp.
74,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Temoridae,Eurytemora,NA,Eurytemora sp.,Genus,adult,Eurytemora sp.,Calanoids,Eurytemora spp.
75,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Tortanidae,Tortanus,NA,Tortanus sp.,Genus,adult,Tortanus sp.,Calanoids,Tortanus spp.
78,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,Unidentified,unidentified,undifferentiated,Unidentified,Macrozooplankton,UNIDENTIFIED
79,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Acanthocyclops,vernalis,Acanthocyclops vernalis,Species,copepodid,Acanthocyclops vernalis,Cyclopoids,Acanthocyclops Vernalis copepodid
80,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Skistodiaptomus,pallidus,Skistodiaptomus pallidus,Species,adult,Skistodiaptomus pallidus,Calanoids,Skistodiaptomus pallidus adult
81,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Leptodiaptomus,siciloides,Leptodiaptomus siciloides,Species,adult,Leptodiaptomus siciloides,Calanoids,Leptodiaptomus siciloides
82,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Hesperodiaptomus,NA,Hesperodiaptomus sp.,Genus,adult,Hesperodiaptomus sp.,Calanoids,Hesperodiaptomus spp. adult
83,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,elegans,Eucyclops elegans,Species,adult,Eucyclops elegans,Cyclopoids,Eucyclops elegans
84,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Microcyclops,rubellus,Microcyclops rubellus,Species,adult,Microcyclops rubellus,Cyclopoids,Microcyclops rubellus
85,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Arctodiaptomus,dorsalis,Arctodiaptomus dorsalis,Species,adult,Arctodiaptomus dorsalis,Calanoids,Arctodiaptomus dorsalis
86,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Kurzia,NA,Kurzia sp.,Genus,undifferentiated,Kurzia sp.,Cladocera,Kurzia
87,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Leydigia,NA,Leydigia sp.,Genus,undifferentiated,Leydigia sp.,Cladocera,Leydigia
88,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Picripleuroxus,NA,Picripleuroxus sp.,Genus,undifferentiated,Picripleuroxus sp.,Cladocera,Picripleuroxus
89,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Pleuroxus,NA,Pleuroxus sp.,Genus,undifferentiated,Pleuroxus sp.,Cladocera,Pleuroxus
90,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,NA,Eucyclops sp.,Genus,adult,Eucyclops sp.,Cyclopoids,Eucyclops spp.
91,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Macrocyclops,NA,Macrocyclops sp.,Genus,adult,Macrocyclops sp.,Cyclopoids,Macrocyclops spp.
92,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Alonella,NA,Alonella sp.,Genus,undifferentiated,Alonella sp.,Cladocera,Alonella
93,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Eurycercus,NA,Eurycercus sp.,Genus,undifferentiated,Eurycercus sp.,Cladocera,Eurycerus
94,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Graptoleberis,NA,Graptoleberis sp.,Genus,undifferentiated,Graptoleberis sp.,Cladocera,Graptoleberis
95,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Monospilus,NA,Monospilus sp.,Genus,undifferentiated,Monospilus sp.,Cladocera,Monospilus
96,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,prionophorus,Eucyclops prionophorus,Species,adult,Eucyclops prionophorus,Cyclopoids,Eucyclops prionophorus
97,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Monospilus,dispar,Monospilus dispar,Species,undifferentiated,Monospilus dispar,Cladocera,Monospilus dispar
98,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Ergasilidae,Ergasilus,NA,Ergasilus sp.,Genus,copepodid,Ergasilus sp.,Cyclopoids,Ergasilus copepodid
99,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Moinidae,Moina,NA,Moina sp.,Genus,undifferentiated,Moina sp.,Cladocera,Moina
100,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Ctenopoda,NA,Sididae,Sida,NA,Sida sp.,Genus,undifferentiated,Sida sp.,Cladocera,Sida
101,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Microcyclops,NA,Microcyclops sp.,Genus,adult,Microcyclops sp.,Cyclopoids,Microcyclops
102,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Disparalona,NA,Disparalona sp.,Genus,undifferentiated,Disparalona sp.,Cladocera,Disparalona
103,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Daphniidae,Simocephalus,NA,Simocephalus sp.,Genus,undifferentiated,Simocephalus sp.,Cladocera,Simocephalus
104,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Mesocyclops,edax,Mesocyclops edax,Species,adult,Mesocyclops edax,Cyclopoids,Mesocyclops edax
105,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,phaleratus,Eucyclops phaleratus,Species,adult,Eucyclops phaleratus,Cyclopoids,Eucyclops phaleratus
106,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Eucyclops,pectinifer,Eucyclops pectinifer,Species,adult,Eucyclops pectinifer,Cyclopoids,Eucyclops pectinifer
107,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Paracyclops,NA,Paracyclops sp.,Genus,adult,Paracyclops sp.,Cyclopoids,Paracyclops spp.
108,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Diacyclops,thomasi,Diacyclops thomasi,Species,adult,Diacyclops thomasi,Cyclopoids,Diacyclops thomasi
109,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Ectocyclops,phaleratus,Ectocyclops phaleratus,Species,copepodid,Ectocyclops phaleratus,Cyclopoids,Ectocyclops phaleratus copepodid
110,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Skistodiaptomus,NA,Skistodiaptomus sp.,Genus,adult,Skistodiaptomus sp.,Calanoids,Skistodiaptomus sp.
111,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Podoplea,Cyclopoida,NA,NA,NA,Cyclopidae,Diacyclops,NA,Diacyclops sp.,Species,adult,Diacyclops sp.,Cyclopoids,Diacyclops
112,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Neocopepoda,Gymnoplea,Calanoida,NA,NA,NA,Diaptomidae,Hesperodiaptomus,franciscanus,Hesperodiaptomus franciscanus,Species,adult,Hesperodiaptomus franciscanus,Calanoids,Hesperodiaptomus franciscanus
113,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Monospilus,NA,Monospilus sp.,Genus,undifferentiated,Monospilus sp.,Cladocera,Monospilus
114,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,NA,NA,Diplostraca,Cladocera,Anomopoda,NA,Chydoridae,Disparalona,NA,Disparalona sp.,Genus,undifferentiated,Disparalona sp.,Cladocera,Disparalona
